"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"149" 668 11 3 66.56 -18.5722222222222 66.5119444444444 -18.6066666666667 223 220 315 3 4.9 82 6683 6681177
"150" 669 3 3 66.6519444444445 -19.8022222222222 66.705 -19.7394444444444 141 152 205 3 4.9 77.2 6693 6690377
"151" 669 4 4 66.65 -19.24 66.7 -19.2230555555556 310 312 415 3 4.9 85.2 6694 6690477
"152" 670 4 1 66.9836111111111 -20.6975 66.9833333333333 -20.8258333333333 223 182 260 3 4.9 80.2 6701 6700477
"153" 670 12 4 66.5908333333333 -20.4394444444444 66.6138888888889 -20.3263888888889 281 224 375 3 4.9 83.4 6704 6701277
"154" 671 2 2 66.885 -21.175 66.8991666666667 -21.0511111111111 125 136 205 3 5 76.6 6712 6710277
"155" 671 11 4 66.6513888888889 -21.4591666666667 66.6013888888889 -21.5255555555556 117 117 135 3 5.2 72.8 6714 6711177
"156" 672 3 2 66.9027777777778 -22.5638888888889 66.9388888888889 -22.4694444444444 162 176 265 3 5 79.4 6722 6720377
"157" 672 12 1 66.8416666666667 -22.6833333333333 66.8805555555555 -22.6111111111111 126 143 215 3 5 76.4 6721 6721277
"158" 672 35 3 66.5919444444444 -22.9825 66.5572222222222 -22.8908333333333 63 75 100 3 5.3 67.4 6723 6723577
"159" 673 3 2 66.9 -23.4333333333333 66.9555555555556 -23.4972222222222 205 219 330 3 4.9 80.2 6732 6730377
"160" 673 13 4 66.7372222222222 -23.3597222222222 66.7555555555556 -23.2425 143 114 225 3 5.1 74.8 6734 6731377
"161" 674 12 3 66.5038888888889 -24.7747222222222 66.5055555555556 -24.6452777777778 110 105 200 3 5.1 73.4 6743 6741277
"162" 674 15 1 66.8638888888889 -24.6163888888889 66.8936111111111 -24.5094444444444 213 223 330 3 5 82.4 6741 6741577
