"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"79" 326 1 4 63.225 -26.05 63.1944444444444 -25.9666666666667 1020 1036 1010 3 5.9 126 3264 3260178
"80" 326 2 3 63.1030555555556 -26.8847222222222 63.1530555555556 -26.88 1354 1318 1280 3 5.8 130 3263 3260278
"81" 326 3 4 63.1197222222222 -26.5016666666667 63.0702777777778 -26.4916666666667 1281 1318 1280 3 5.8 125 3264 3260378
"82" 326 51 2 63.4555555555556 -26.2777777777778 63.5055555555556 -26.2972222222222 837 793 835 3 5.9 125 3262 3265178
"83" 359 1 1 64.0194444444444 -9.675 63.975 -9.61944444444445 740 724 730 3 5.7 129 3591 3590178
"84" 360 1 2 63.9722222222222 -10.2222222222222 63.9744444444444 -10.3341666666667 587 536 580 3 5.7 128 3602 3600178
"85" 361 1 1 63.9472222222222 -11.5330555555556 63.9891666666667 -11.485 326 322 320 3 5.8 117 3611 3610178
"86" 361 71 2 63.9275 -11.3425 63.9644444444444 -11.285 368 351 345 3 5.7 120 3612 3617178
"87" 361 72 1 63.9188888888889 -11.8566666666667 63.87 -11.8683333333333 366 373 390 3 5.8 120 3611 3617278
"88" 362 1 1 63.8172222222222 -12.6875 63.7680555555556 -12.6727777777778 558 554 550 3 5.9 119 3621 3620178
"89" 362 51 1 63.875 -12.4055555555556 63.8305555555556 -12.4583333333333 454 458 450 3 5.8 120 3621 3625178
"90" 362 52 2 63.7888888888889 -12.25 63.75 -12.3166666666667 408 405 420 3 5.8 121 3622 3625278
"91" 362 61 3 63.6638888888889 -12.6916666666667 63.7138888888889 -12.6944444444444 523 539 530 3 5.8 117 3623 3626178
"92" 362 63 1 63.8833333333333 -12.6333333333333 63.9138888888889 -12.5333333333333 530 509 550 3 5.9 124 3621 3626378
"93" 363 1 4 63.7094444444444 -13.3241666666667 63.7588888888889 -13.3158333333333 875 884 850 3 5.8 130 3634 3630178
"94" 363 2 4 63.6591666666667 -13.3838888888889 63.6013888888889 -13.4069444444444 899 930 960 3 5.7 129 3634 3630278
"95" 363 4 2 63.9166666666667 -13.0394444444444 63.9666666666667 -13.0452777777778 436 706 735 3 5.8 128 3632 3630478
"96" 363 51 2 63.8194444444444 -13.1861111111111 63.85 -13.25 780 827 820 3 5.8 130 3632 3635178
"97" 363 61 1 63.8841666666667 -13.7875 63.8461111111111 -13.8527777777778 236 224 250 3 5.7 109 3631 3636178
"98" 363 62 2 63.9694444444444 -12.9138888888889 63.9194444444444 -12.8833333333333 655 643 660 3 5.8 125 3632 3636278
"99" 364 51 4 63.7777777777778 -14.1833333333333 63.7527777777778 -14.2861111111111 365 326 355 3 5.6 119 3644 3645178
"100" 364 52 4 63.7263888888889 -14.3758333333333 63.6836111111111 -14.4655555555556 413 408 490 3 5.8 117 3644 3645278
"101" 365 51 4 63.55 -15.1444444444444 63.5416666666667 -15.2472222222222 271 295 315 3 5.5 111 3654 3655178
"102" 375 1 3 63.5666666666667 -25.9911111111111 63.5166666666667 -25.9933333333333 370 193 345 3 5.8 115 3753 3750178
"103" 376 3 1 63.9075 -26.9816666666667 63.9505555555556 -26.9391666666667 964 840 880 3 5.7 125 3761 3760378
"104" 376 51 4 63.6680555555556 -26.175 63.7044444444444 -26.235 441 474 490 3 5.9 114 3764 3765178
"105" 377 2 2 63.9088888888889 -27.0863888888889 63.8588888888889 -27.0883333333333 1063 1113 1050 3 5.9 129 3772 3770278
"106" 409 1 3 64.0252777777778 -9.84972222222222 64.0558333333333 -9.94166666666667 708 684 710 3 5.7 131 4093 4090178
"107" 409 2 3 64.2194444444444 -9.64722222222222 64.1711111111111 -9.675 824 838 800 3 5.6 131 4093 4090278
"108" 411 1 2 64.2575 -11.1386111111111 64.2866666666667 -11.0563888888889 337 348 340 3 5.7 120 4112 4110178
"109" 411 2 4 64.1516666666667 -11.3 64.2038888888889 -11.2580555555556 333 340 320 3 5.7 119 4114 4110278
